F,n,x0,force_x,force_y,abs(force),max_height
0.25,3.2,0.2,6.21392,-1.19977,6.32868,2.63697
0.5,3.2,0.2,4.01439,-0.804607,4.09423,2.10498
1,3.2,0.2,2.6754,-0.545806,2.73051,1.7063
0.05,3.3,0.2,17.3995,-2.6658,17.6025,4.54095
0.1,3.3,0.2,11.2667,-1.96379,11.4366,3.59562
0.25,3.3,0.2,6.22899,-1.20023,6.34357,2.64077
0.5,3.3,0.2,4.02067,-0.805155,4.1005,2.10722
1,3.3,0.2,2.67801,-0.546204,2.73315,1.70734
0.05,3.4,0.2,17.499,-2.65871,17.6998,4.55178
0.1,3.4,0.2,11.3113,-1.96209,11.4802,3.60288
0.25,3.4,0.2,6.24339,-1.20055,6.35777,2.64446
0.5,3.4,0.2,4.02667,-0.805624,4.10647,2.10933
1,3.4,0.2,2.6805,-0.546559,2.73566,1.70836
0.05,3.5,0.2,17.5964,-2.65205,17.7952,4.56234
0.1,3.5,0.2,11.3546,-1.96045,11.5226,3.61005
0.25,3.5,0.2,6.25735,-1.20084,6.37154,2.64815
0.5,3.5,0.2,4.03249,-0.806066,4.11226,2.11109
1,3.5,0.2,2.68291,-0.546894,2.73809,1.70935
0.05,3.6,0.2,17.6953,-2.64673,17.8921,4.573
0.1,3.6,0.2,11.3981,-1.95928,11.5653,3.61687
0.25,3.6,0.2,6.27134,-1.20124,6.38535,2.6517
0.5,3.6,0.2,4.0383,-0.806534,4.11806,2.1128
1,3.6,0.2,2.68533,-0.547233,2.74052,1.71038
0.05,3.7,0.2,17.7893,-2.64049,17.9842,4.58307
0.1,3.7,0.2,11.4392,-1.95745,11.6054,3.62282
0.25,3.7,0.2,6.28449,-1.20137,6.39829,2.65504
0.5,3.7,0.2,4.04376,-0.806871,4.12348,2.11445
1,3.7,0.2,2.68759,-0.547509,2.74279,1.71139
0.05,3.8,0.2,17.8808,-2.63416,18.0738,4.59304
0.1,3.8,0.2,11.4788,-1.95542,11.6442,3.62845
0.25,3.8,0.2,6.29718,-1.20139,6.41076,2.65783
0.5,3.8,0.2,4.04903,-0.807149,4.1287,2.11615
1,3.8,0.2,2.68977,-0.547753,2.74497,1.7124
0.05,3.9,0.2,17.9657,-2.62738,18.1568,4.60255
0.1,3.9,0.2,11.5164,-1.95328,11.6809,3.63402
0.25,3.9,0.2,6.30919,-1.20134,6.42255,2.6605
0.5,3.9,0.2,4.05401,-0.807382,4.13363,2.11783
1,3.9,0.2,2.69183,-0.547973,2.74704,1.71339
0.05,4,0.2,18.0486,-2.62034,18.2379,4.6121
0.1,4,0.2,11.5526,-1.95095,11.7162,3.6401
0.25,4,0.2,6.32074,-1.20119,6.43386,2.66307
0.5,4,0.2,4.0588,-0.807566,4.13836,2.11959
1,4,0.2,2.69381,-0.548167,2.74902,1.71427
0.05,0,0.3,23.5958,-1.31232,23.6323,5.31757
0.1,0,0.3,13.9466,-1.04221,13.9855,4.06418
0.25,0,0.3,7.17182,-0.762765,7.21227,2.88117
0.5,0,0.3,4.49409,-0.601807,4.53421,2.25512
1,0,0.3,2.93358,-0.477749,2.97223,1.7997
0.05,0.1,0.3,16.883,-2.39972,17.0527,4.70834
0.1,0.1,0.3,10.5916,-1.68824,10.7253,3.67584
0.25,0.1,0.3,5.86155,-1.07528,5.95936,2.67431
0.5,0.1,0.3,3.85593,-0.777944,3.93362,2.13114
1,0.1,0.3,2.62398,-0.576409,2.68654,1.72858
0.05,0.2,0.3,14.171,-2.8383,14.4525,4.33431
0.1,0.2,0.3,9.27506,-1.96592,9.48112,3.43881
0.25,0.2,0.3,5.37909,-1.21775,5.51521,2.55484
0.5,0.2,0.3,3.6315,-0.860398,3.73203,2.06371
1,0.2,0.3,2.51808,-0.623313,2.59408,1.69181
0.05,0.3,0.3,12.721,-3.09968,13.0932,4.01081
0.1,0.3,0.3,8.5976,-2.14009,8.85995,3.24046
0.25,0.3,0.3,5.14847,-1.3115,5.31289,2.46135
0.5,0.3,0.3,3.52914,-0.915794,3.64603,2.01367
